pollutant,feature_name,domain,tsfel_config_name,value
CO,0_Max,statistical,Max,0.03886229
CO,0_Mean,statistical,Mean,0.02949328833333333
CO,0_Mean absolute deviation,statistical,Mean absolute deviation,0.0027903588030685155
CO,0_Median,statistical,Median,0.02917436
CO,0_Median absolute deviation,statistical,Median absolute deviation,0.0024442433333333336
CO,0_Min,statistical,Min,0.0214082
CO,0_Peak to peak distance,statistical,Peak to peak distance,0.017454090000000002
CO,0_Root mean square,statistical,Root mean square,0.029697034498430676
CO,0_Skewness,statistical,Skewness,0.332888557184955
CO,0_Standard deviation,statistical,Standard deviation,0.003472722460526562
CO,0_Variance,statistical,Variance,1.2059801287845658e-05
CO,0_Area under the curve,temporal,Area under the curve,10.763923725
CO,0_Autocorrelation,temporal,Autocorrelation,4.0
CO,0_Centroid,temporal,Centroid,182.67494286087995
CO,0_Mean absolute diff,temporal,Mean absolute diff,0.0018477094520547943
CO,0_Mean diff,temporal,Mean diff,2.8064520547945187e-05
CO,0_Median absolute diff,temporal,Median absolute diff,0.0011208350000000006
CO,0_Median diff,temporal,Median diff,-0.00014003500000000016
CO,0_Negative turning points,temporal,Negative turning points,61.0
CO,0_Neighbourhood peaks,temporal,Neighbourhood peaks,14.0
CO,0_Positive turning points,temporal,Positive turning points,61.0
CO,0_Signal distance,temporal,Signal distance,365.001358384961
CO,0_Slope,temporal,Slope,1.4495501568199249e-07
CO,0_Sum absolute diff,temporal,Sum absolute diff,0.6744139499999999
CO,0_Zero crossing rate,temporal,Zero crossing rate,0.0
CO,0_Spectrogram mean coefficient_0.02Hz,spectral,Spectrogram mean coefficient,0.00011204325518332952
CO,0_Spectrogram mean coefficient_0.03Hz,spectral,Spectrogram mean coefficient,4.660300416605344e-05
CO,0_Spectrogram mean coefficient_0.05Hz,spectral,Spectrogram mean coefficient,5.595436909998806e-05
CO,0_Spectrogram mean coefficient_0.06Hz,spectral,Spectrogram mean coefficient,5.3280068031166995e-05
CO,0_Spectrogram mean coefficient_0.08Hz,spectral,Spectrogram mean coefficient,3.221360345939898e-05
CO,0_Spectrogram mean coefficient_0.0Hz,spectral,Spectrogram mean coefficient,6.382322150999595e-06
CO,0_Spectrogram mean coefficient_0.11Hz,spectral,Spectrogram mean coefficient,2.884372569951649e-05
CO,0_Spectrogram mean coefficient_0.13Hz,spectral,Spectrogram mean coefficient,1.552395895624684e-05
CO,0_Spectrogram mean coefficient_0.15Hz,spectral,Spectrogram mean coefficient,1.6086418697983387e-05
CO,0_Spectrogram mean coefficient_0.16Hz,spectral,Spectrogram mean coefficient,1.0011588661988652e-05
CO,0_Spectrogram mean coefficient_0.18Hz,spectral,Spectrogram mean coefficient,1.561949195183266e-05
CO,0_Spectrogram mean coefficient_0.19Hz,spectral,Spectrogram mean coefficient,1.1521039893754966e-05
CO,0_Spectrogram mean coefficient_0.1Hz,spectral,Spectrogram mean coefficient,2.196140828838847e-05
CO,0_Spectrogram mean coefficient_0.21Hz,spectral,Spectrogram mean coefficient,8.73018024374512e-06
CO,0_Spectrogram mean coefficient_0.23Hz,spectral,Spectrogram mean coefficient,5.41857273011125e-06
CO,0_Spectrogram mean coefficient_0.24Hz,spectral,Spectrogram mean coefficient,8.104838967154924e-06
CO,0_Spectrogram mean coefficient_0.26Hz,spectral,Spectrogram mean coefficient,9.376524028981667e-06
CO,0_Spectrogram mean coefficient_0.27Hz,spectral,Spectrogram mean coefficient,1.0317193886824067e-05
CO,0_Spectrogram mean coefficient_0.29Hz,spectral,Spectrogram mean coefficient,9.621067476383987e-06
CO,0_Spectrogram mean coefficient_0.31Hz,spectral,Spectrogram mean coefficient,2.897057406972728e-06
SO2,0_Absolute energy,statistical,Absolute energy,1.0280143498506097e-05
SO2,0_Average power,statistical,Average power,2.816477670823588e-08
SO2,0_ECDF_0,statistical,ECDF,0.00273224043715847
