Polutan,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,1,2,0.9620383478644012,0.007345980259698499,8857.14977171932,4.4036766361789645,0.45815083883379504
NO2,1,3,0.6118100000765747,0.3701067258504618,10813.353196733837,1.7561453054995502,0.45815083883379504
NO2,1,4,0.5624465223972014,0.34019033124918574,15711.649434287754,0.7827464375002082,0.45815083883379504
NO2,1,5,0.5625689120602528,0.38685141686929214,22557.258204773094,0.3966466816481537,0.45815083883379504
NO2,1,6,0.5687226647202546,0.3613909814898548,28204.236026672872,0.24588726504335745,0.45815083883379504
NO2,1,7,0.5719372365715005,0.3079051662929225,38328.40696190034,0.145930721673671,0.45815083883379504
NO2,1,8,0.5972670584640976,0.29102624863347265,52462.7274228746,0.08834234940304755,0.45815083883379504
NO2,1,9,0.5579424600669893,0.2906303511822119,62551.04784772297,0.06259840977581277,0.45815083883379504
NO2,1,10,0.561440519155322,0.25843557244965654,73840.56472524116,0.04545302028396115,0.45815083883379504
NO2,2,2,0.8501377451643233,0.08749428091999435,69.74711071812514,559.5835936489591,0.6857934320813603
NO2,2,3,0.5336537065933369,0.4298999402158976,99.50185368550412,244.374039028428,0.6857934320813603
NO2,2,4,0.5538351400831905,0.327387678412709,144.45665366924678,118.50109170472766,0.6857934320813603
NO2,2,5,0.5569227038632423,0.3105822109949057,264.3381672962816,49.19494253101108,0.6857934320813603
NO2,2,6,0.4674072244306471,0.42177541884272207,325.5052221447891,31.302452255491993,0.6857934320813603
NO2,2,7,0.4564425682268535,0.40510278410739,380.19372501289916,21.738510422081777,0.6857934320813603
NO2,2,8,0.494308404185178,0.3634262684655177,517.0931257504493,13.310812011412892,0.6857934320813603
NO2,2,9,0.4915756412998945,0.3971244204743383,639.0019457149284,9.12289293922242,0.6857934320813603
NO2,2,10,0.46295296401074953,0.44195090349455396,738.0255988000439,6.779958332834517,0.6857934320813603
NO2,3,2,0.8258221806986998,0.10339354811584218,51.53583577779682,757.3830335830728,0.7668278204637226
NO2,3,3,0.4342330102707986,0.6249068249358533,55.1859421721388,441.00124180436063,0.7668278204637226
NO2,3,4,0.48179327485236273,0.4624092675251689,66.65842832088632,265.2452458628566,0.7668278204637226
NO2,3,5,0.5067551183401081,0.3793425392761655,108.50905456283793,128.58012071928346,0.7668278204637226
NO2,3,6,0.46495855609284037,0.4263238335646873,129.4195467757367,85.60771812744379,0.7668278204637226
NO2,3,7,0.41758892411444626,0.4727932213082016,146.58709296118795,61.766259283429406,0.7668278204637226
NO2,3,8,0.4022769158564165,0.5077985927569686,168.97968468395263,44.811538872626464,0.7668278204637226
