Polutan,Jumlah_PCA,Cumulative_Variance,K_Terbaik_Silhouette,Silhouette_Tertinggi,Davies_Bouldin,Calinski_Harabasz
NO2,1,0.45815083883379504,2,0.9620383478644012,0.007345980259698499,8857.14977171932
NO2,2,0.6857934320813603,2,0.8501377451643233,0.08749428091999435,69.74711071812514
NO2,3,0.7668278204637226,2,0.8258221806986998,0.10339354811584218,51.53583577779682
NO2,4,0.8238375269634219,2,0.8033150681656821,0.12063582959803953,43.54534797493876
NO2,5,0.8628860721197159,2,0.7880438744180244,0.13203306410360727,39.36310670017533
NO2,6,0.8931803023575684,2,0.777901595500666,0.1395220933737935,36.63081042492703
NO2,7,0.9124981844732967,2,0.7713087987368759,0.14430361047764984,35.078110752562154
NO2,8,0.9291862607117982,2,0.7660010729832066,0.1480288738789952,33.83938911170475
NO2,9,0.9440427325502027,2,0.7613374221883321,0.15140963807702074,32.807763670379444
NO2,10,0.9565791958283014,2,0.7580430083051626,0.15393444299769776,31.985370159175144
NO2,11,0.9667348558384309,2,0.7551815129522842,0.1559399468582047,31.34849945329633
NO2,12,0.9732124233673107,2,0.7535372684000372,0.15712545154295451,30.95531115384951
NO2,13,0.9787356837874026,2,0.7518363960300167,0.15836650435274552,30.62777986586172
NO2,14,0.9829333036205224,2,0.7505801682208271,0.15925159803048913,30.383440094159806
NO2,15,0.9866558966214516,2,0.7494716640424194,0.16008615831425463,30.169990249206744
NO2,16,0.9892053749939548,2,0.7486832556875886,0.16071016841271563,30.02552842922209
NO2,17,0.9915206834217054,2,0.7479937862572617,0.16121069320909848,29.89552949926588
NO2,18,0.9935068270189097,2,0.747456361346995,0.16160619049966532,29.784907144727338
NO2,19,0.9950512901548505,2,0.7469996396540997,0.1619544128224352,29.699448090207447
NO2,20,0.9963384471425278,2,0.7466096018533499,0.16225400980689014,29.628599776708736
NO2,21,0.9974611893948905,2,0.7462566117068142,0.16252377789725123,29.567076782939612
NO2,22,0.9983306734014451,2,0.7460027199827863,0.16270395841869167,29.519606790942444
NO2,23,0.9988462194105706,2,0.7458399336175354,0.162836149130007,29.49153217772212
NO2,24,0.9992023313986249,2,0.7457320913308232,0.16291749425799582,29.4721709156068
NO2,25,0.9994140964649246,2,0.7456665314330945,0.16296652366304024,29.460669619098294
NO2,26,0.9995800732382342,2,0.7456157974172799,0.16300716051397884,29.45166141412884
NO2,27,0.9997145202380446,2,0.7455749192620253,0.16303775314827856,29.444368490095933
NO2,28,0.9998070457089561,2,0.7455465787707678,0.16305847195424933,29.439351648375954
NO2,29,0.9998865726486523,2,0.7455219781693838,0.1630780341491541,29.43504096817337
NO2,30,0.9999447261302187,2,0.7455052363715157,0.16309025568386143,29.431889614257862
NO2,31,0.9999686570896059,2,0.745498340536543,0.163095529514919,29.430592984690435
NO2,32,0.9999858215751368,2,0.7454933185071295,0.16309960338756258,29.429663047528997
NO2,33,0.9999952289164817,2,0.7454904187805402,0.16310164982412262,29.429153401517677
NO2,34,0.9999990839075734,2,0.7454892631373041,0.16310248189553117,29.42894456116335
NO2,35,0.9999999322697687,2,0.7454890001684483,0.1631026779780247,29.428898602363358
NO2,36,0.9999999999999999,2,0.7454889793422194,0.16310268474255987,29.428894933181795
