Polutan,K,Inertia
NO2,2,1326.5787049217531
NO2,3,1001.2819207862437
NO2,4,811.7986405352001
NO2,5,655.7898244631496
NO2,6,578.3124167236762
NO2,7,504.989692418367
NO2,8,458.5987524443723
NO2,9,424.65884368285026
NO2,10,373.027966393926
