Polutan,PCA_Terbaik,K_PCA,Silhouette_PCA,Davies_Bouldin_PCA,Calinski_Harabasz_PCA,Variance_PCA,K_68_Fitur,Silhouette_68_Fitur,Davies_Bouldin_68_Fitur,Calinski_Harabasz_68_Fitur
NO2,1,2,0.9620383478644012,0.0073459802596984,8857.14977171932,0.458150838833795,2,0.7454889793422196,0.163102692992301,29.42889493318181
CO,1,2,0.948899886422482,0.0169551151227408,1749.4307622516956,0.5395496200775334,2,0.7954938431353852,0.1246891346222824,39.90209764434675
SO2,1,2,0.925296479976482,0.0309625890867717,366.0022288716144,0.5304833670367862,2,0.7893659610759113,0.1278638966664296,35.60952817749455
