Polutan,Metode,Jumlah_Fitur_Input,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,PCA,68,1,2,0.9620383478644012,0.0073459802596984,8857.14977171932,4.4036766361789645,0.458150838833795
NO2,PCA,68,1,3,0.6118100000765747,0.3701067258504618,10813.353196733837,1.7561453054995502,0.458150838833795
NO2,PCA,68,1,4,0.5624465223972014,0.3401903312491857,15711.649434287754,0.7827464375002082,0.458150838833795
NO2,PCA,68,1,5,0.5625689120602528,0.3868514168692921,22557.25820477309,0.3966466816481537,0.458150838833795
NO2,PCA,68,1,6,0.5687226647202546,0.3613909814898548,28204.236026672872,0.2458872650433574,0.458150838833795
NO2,PCA,68,1,7,0.5719372365715005,0.3079051662929225,38328.40696190034,0.145930721673671,0.458150838833795
NO2,PCA,68,1,8,0.5972670584640976,0.2910262486334726,52462.7274228746,0.0883423494030475,0.458150838833795
NO2,PCA,68,1,9,0.5579424600669893,0.2906303511822119,62551.04784772297,0.0625984097758127,0.458150838833795
NO2,PCA,68,1,10,0.561440519155322,0.2584355724496565,73840.56472524116,0.0454530202839611,0.458150838833795
NO2,PCA,68,2,2,0.8501377451643233,0.0874942809199943,69.74711071812514,559.5835936489591,0.6857934320813603
NO2,PCA,68,2,3,0.5336537065933369,0.4298999402158976,99.50185368550412,244.374039028428,0.6857934320813603
NO2,PCA,68,2,4,0.5538351400831905,0.327387678412709,144.45665366924678,118.50109170472766,0.6857934320813603
NO2,PCA,68,2,5,0.5569227038632423,0.3105822109949057,264.3381672962816,49.19494253101108,0.6857934320813603
NO2,PCA,68,2,6,0.4674072244306471,0.421775418842722,325.5052221447891,31.302452255491996,0.6857934320813603
NO2,PCA,68,2,7,0.4564425682268535,0.40510278410739,380.1937250128992,21.738510422081777,0.6857934320813603
NO2,PCA,68,2,8,0.494308404185178,0.3634262684655177,517.0931257504493,13.310812011412892,0.6857934320813603
NO2,PCA,68,2,9,0.4915756412998945,0.3971244204743383,639.0019457149284,9.12289293922242,0.6857934320813603
NO2,PCA,68,2,10,0.4629529640107495,0.4419509034945539,738.0255988000439,6.779958332834517,0.6857934320813603
NO2,PCA,68,3,2,0.8258221806986998,0.1033935481158421,51.53583577779682,757.3830335830728,0.7668278204637226
NO2,PCA,68,3,3,0.4342330102707986,0.6249068249358533,55.1859421721388,441.00124180436063,0.7668278204637226
NO2,PCA,68,3,4,0.4817932748523627,0.4624092675251689,66.65842832088632,265.2452458628566,0.7668278204637226
NO2,PCA,68,3,5,0.5067551183401081,0.3793425392761655,108.50905456283792,128.58012071928346,0.7668278204637226
NO2,PCA,68,3,6,0.4649585560928403,0.4263238335646873,129.4195467757367,85.60771812744379,0.7668278204637226
NO2,PCA,68,3,7,0.4175889241144462,0.4727932213082016,146.58709296118795,61.766259283429406,0.7668278204637226
NO2,PCA,68,3,8,0.4022769158564165,0.5077985927569686,168.97968468395263,44.811538872626464,0.7668278204637226
NO2,PCA,68,3,9,0.3722195337408832,0.4438818938518432,174.5880850200094,36.80244739993156,0.7668278204637226
NO2,PCA,68,3,10,0.3526584492169787,0.4101953934072924,181.92245998404147,30.37911464730697,0.7668278204637226
NO2,PCA,68,4,2,0.8033150681656821,0.1206358295980395,43.54534797493876,896.4680308250753,0.8238375269634219
NO2,PCA,68,4,3,0.3370275028237098,0.7621165398245714,42.11426955991659,578.5538982207082,0.8238375269634219
NO2,PCA,68,4,4,0.3808564301913366,0.6048995256354841,44.60133672857148,398.01064059525896,0.8238375269634219
NO2,PCA,68,4,5,0.4092316993094706,0.4978618216249854,54.69815190502283,256.6979956783712,0.8238375269634219
NO2,PCA,68,4,6,0.4090225556712736,0.5302014381563943,64.72453999019037,175.86620505345783,0.8238375269634219
NO2,PCA,68,4,7,0.4203493425706491,0.561335531121614,75.00511535766576,125.73016311837068,0.8238375269634219
NO2,PCA,68,4,8,0.3548347910475726,0.588616458014102,77.86616041656151,101.63085496268614,0.8238375269634219
NO2,PCA,68,4,9,0.3101257882449754,0.5263684848725849,76.16067315158297,88.39166259061979,0.8238375269634219
NO2,PCA,68,4,10,0.3392748659276179,0.5611010505776542,77.61209900856568,74.87007281490976,0.8238375269634219
NO2,PCA,68,5,2,0.7880438744180244,0.1320330641036072,39.36310670017533,991.7669642478536,0.8628860721197159
NO2,PCA,68,5,3,0.2849938389295121,0.8691366791002532,36.22124212130876,673.074339684295,0.8628860721197159
NO2,PCA,68,5,4,0.3129960675540043,0.7214787860014693,36.66667779243246,486.26937606630673,0.8628860721197159
NO2,PCA,68,5,5,0.3270060280425917,0.6220194958816193,40.84884957089122,345.0918998709843,0.8628860721197159
NO2,PCA,68,5,6,0.3542872844651988,0.6065098215262509,43.736445606989854,261.6213494476798,0.8628860721197159
NO2,PCA,68,5,7,0.3346447954604826,0.6481280568249407,46.54738238541683,204.3913473977372,0.8628860721197159
NO2,PCA,68,5,8,0.3231209360083769,0.6584214196819199,47.050198402503575,170.52498682094006,0.8628860721197159
NO2,PCA,68,5,9,0.3277949900571719,0.6607412986688799,52.28506756179662,132.20540156624108,0.8628860721197159
NO2,PCA,68,5,10,0.3321162721042816,0.5465973688208325,51.87198813846819,115.20456208725062,0.8628860721197159
NO2,PCA,68,6,2,0.777901595500666,0.1395220933737935,36.63081042492703,1065.7441956839225,0.8931803023575684
NO2,PCA,68,6,3,0.2587251246362678,0.9248882612941616,32.811828696227515,744.3912027040335,0.8931803023575684
NO2,PCA,68,6,4,0.2870411333504379,0.7646792889528127,32.045319017922345,557.3802176245792,0.8931803023575684
NO2,PCA,68,6,5,0.3047137544859664,0.6529513746447566,34.50830972132442,410.4884551103199,0.8931803023575684
NO2,PCA,68,6,6,0.270905688577569,0.7381466595671754,34.923351909783406,328.8425291664352,0.8931803023575684
NO2,PCA,68,6,7,0.2931541072918783,0.7138766693447207,36.93810175056223,260.0435173878538,0.8931803023575684
NO2,PCA,68,6,8,0.2980006549304906,0.7444451036699102,38.008205032191945,214.3760336154552,0.8931803023575684
NO2,PCA,68,6,9,0.2687200991617205,0.700039201519806,34.89801866038177,198.81265519897096,0.8931803023575684
NO2,PCA,68,6,10,0.2923156902662411,0.6840954101123249,35.6678134882906,169.22184899472094,0.8931803023575684
NO2,PCA,68,7,2,0.7713087987368759,0.1443036104776498,35.078110752562154,1112.9184133161182,0.9124981844732968
NO2,PCA,68,7,3,0.2425906127112155,0.9666026418499866,30.86695061719333,791.3904926422824,0.9124981844732968
NO2,PCA,68,7,4,0.2678873640935693,0.8255913955777368,29.680690523020782,602.5346648786818,0.9124981844732968
NO2,PCA,68,7,5,0.2835385229521905,0.688783715010499,31.090829913950884,456.0293186691416,0.9124981844732968
NO2,PCA,68,7,6,0.2774389104347275,0.7524128266871668,30.765282765585223,373.7449433245469,0.9124981844732968
NO2,PCA,68,7,7,0.2213684192426475,0.9693522891018524,27.96716656263041,337.9605830319794,0.9124981844732968
NO2,PCA,68,7,8,0.2376062840711512,0.8758411993910595,30.11027698407261,269.511506340524,0.9124981844732968
NO2,PCA,68,7,9,0.2227522627127101,0.855373565947294,29.98195337127321,232.935094801988,0.9124981844732968
NO2,PCA,68,7,10,0.2663042590796819,0.6409108404580627,29.73715425030056,204.2010630594135,0.9124981844732968
NO2,PCA,68,8,2,0.7660010729832066,0.1480288738789952,33.83938911170475,1153.6643588479203,0.9291862607117982
NO2,PCA,68,8,3,0.2349255549011062,1.004621983679532,29.36038829226182,832.0516684203044,0.9291862607117982
NO2,PCA,68,8,4,0.2543266127873377,0.8609760418176593,27.892760399193936,641.7595737369577,0.9291862607117982
NO2,PCA,68,8,5,0.2673011772873866,0.726533230852532,28.56910562742073,496.39121542131136,0.9291862607117982
