valid_time,latitude,longitude,pm1_ug_m3,pm2p5_ug_m3,pm10_ug_m3
2025-09-08 18:00:00,-7.2,112.4,160.23523,171.4489,175.2353
2025-09-09 00:00:00,-7.2,112.4,98.58218,106.5971,110.12651
2025-09-09 00:00:00,-7.2,112.4,117.17594,126.856606,131.11588
2025-09-09 06:00:00,-7.2,112.4,41.13264,44.844414,45.70038
2025-09-09 06:00:00,-7.2,112.4,34.196575,37.10514,37.65286
2025-09-09 12:00:00,-7.2,112.4,68.88876,73.61615,74.60898
2025-09-09 12:00:00,-7.2,112.4,66.150566,70.737885,72.087234
2025-09-09 18:00:00,-7.2,112.4,53.862583,58.789165,60.93967
2025-09-09 18:00:00,-7.2,112.4,46.610317,49.73971,50.67579
2025-09-10 00:00:00,-7.2,112.4,63.942196,69.9016,72.7984
2025-09-10 00:00:00,-7.2,112.4,55.76988,60.710476,63.0331
2025-09-10 06:00:00,-7.2,112.4,26.335592,28.10226,28.264612
2025-09-10 06:00:00,-7.2,112.4,35.07124,37.57336,37.84186
2025-09-10 12:00:00,-7.2,112.4,52.48877,55.53101,55.92169
2025-09-10 12:00:00,-7.2,112.4,83.012535,87.73691,88.247986
2025-09-10 18:00:00,-7.2,112.4,74.098526,79.59841,81.6201
2025-09-10 18:00:00,-7.2,112.4,62.308002,67.20097,69.2354
2025-09-11 00:00:00,-7.2,112.4,67.99712,74.00081,76.947685
2025-09-11 00:00:00,-7.2,112.4,56.684914,61.594845,63.868526
2025-09-11 06:00:00,-7.2,112.4,14.474271,16.18298,16.82163
2025-09-11 06:00:00,-7.2,112.4,12.478519,14.529274,15.637326
2025-09-11 12:00:00,-7.2,112.4,43.93704,47.740078,49.41929
2025-09-11 12:00:00,-7.2,112.4,43.18301,47.29445,49.24503
2025-09-11 18:00:00,-7.2,112.4,152.52203,161.199,163.27812
2025-09-11 18:00:00,-7.2,112.4,160.49443,169.9919,172.45486
2025-09-12 00:00:00,-7.2,112.4,117.50933,127.3034,131.51361
2025-09-12 00:00:00,-7.2,112.4,128.69174,139.02917,143.31142
2025-09-12 06:00:00,-7.2,112.4,32.549236,35.67928,36.44638
2025-09-12 06:00:00,-7.2,112.4,30.586264,33.16014,33.638077
2025-09-12 12:00:00,-7.2,112.4,128.647,137.37263,140.145
2025-09-12 12:00:00,-7.2,112.4,119.36874,126.14754,127.12803
2025-09-12 18:00:00,-7.2,112.4,200.21133,213.04976,217.00708
2025-09-12 18:00:00,-7.2,112.4,163.23201,173.7639,176.92355
2025-09-13 00:00:00,-7.2,112.4,113.360214,123.73806,128.6495
2025-09-13 00:00:00,-7.2,112.4,112.41206,123.9344,129.70923
2025-09-13 06:00:00,-7.2,112.4,30.106434,33.25839,34.299232
2025-09-13 06:00:00,-7.2,112.4,27.847105,30.759338,31.706352
2025-09-13 12:00:00,-7.2,112.4,70.32031,74.56612,75.22379
2025-09-13 12:00:00,-7.2,112.4,67.21092,73.01435,75.552574
2025-09-13 18:00:00,-7.2,112.4,116.76184,124.505165,127.00241
2025-09-13 18:00:00,-7.2,112.4,97.91938,104.652374,106.9456
2025-09-14 00:00:00,-7.2,112.4,101.35313,110.425446,114.55205
2025-09-14 00:00:00,-7.2,112.4,90.92565,100.17089,104.74133
2025-09-14 06:00:00,-7.2,112.4,27.177286,29.70857,30.350464
2025-09-14 06:00:00,-7.2,112.4,30.529482,33.75677,34.75593
2025-09-14 12:00:00,-7.2,112.4,54.933567,59.56527,61.46257
2025-09-14 12:00:00,-7.2,112.4,40.600033,44.207455,45.64955
2025-09-14 18:00:00,-7.2,112.4,109.374245,116.97386,119.613335
2025-09-14 18:00:00,-7.2,112.4,90.81549,97.85958,100.5991
2025-09-15 00:00:00,-7.2,112.4,75.61232,82.85406,86.32452
2025-09-15 00:00:00,-7.2,112.4,82.075134,88.908165,91.905975
2025-09-15 06:00:00,-7.2,112.4,25.358965,28.04395,28.843885
2025-09-15 06:00:00,-7.2,112.4,29.205954,32.25194,33.15187
2025-09-15 12:00:00,-7.2,112.4,80.844185,87.28637,89.796684
2025-09-15 12:00:00,-7.2,112.4,64.39984,69.17924,70.40916
2025-09-15 18:00:00,-7.2,112.4,105.15367,113.09976,116.015144
2025-09-15 18:00:00,-7.2,112.4,107.217545,114.85577,117.358864
2025-09-16 00:00:00,-7.2,112.4,95.72073,105.05306,109.6073
2025-09-16 00:00:00,-7.2,112.4,107.548775,117.39405,122.15014
2025-09-16 06:00:00,-7.2,112.4,41.351902,44.9029,45.586704
2025-09-16 06:00:00,-7.2,112.4,37.974335,41.50057,42.223557
2025-09-16 12:00:00,-7.2,112.4,94.01219,98.99731,99.204384
2025-09-16 12:00:00,-7.2,112.4,80.04292,84.83909,85.20988
2025-09-16 18:00:00,-7.2,112.4,114.7551,122.506775,124.50124
2025-09-16 18:00:00,-7.2,112.4,115.107864,123.643875,126.74656
2025-09-17 00:00:00,-7.2,112.4,71.58786,77.57347,79.560326
2025-09-17 00:00:00,-7.2,112.4,76.19883,84.04243,87.724915
2025-09-17 06:00:00,-7.2,112.4,33.901417,37.063377,37.736347
2025-09-17 06:00:00,-7.2,112.4,36.924946,40.48099,41.301693
2025-09-17 12:00:00,-7.2,112.4,70.995384,75.656654,76.24527
2025-09-17 12:00:00,-7.2,112.4,63.122116,67.17806,67.52595
2025-09-17 18:00:00,-7.2,112.4,71.21639,75.48533,75.75966
2025-09-17 18:00:00,-7.2,112.4,118.88727,125.77516,126.34615
2025-09-18 00:00:00,-7.2,112.4,148.42885,160.54451,165.49677
2025-09-18 00:00:00,-7.2,112.4,112.83561,120.78255,122.71925
2025-09-18 06:00:00,-7.2,112.4,34.291447,37.83582,38.858067
2025-09-18 06:00:00,-7.2,112.4,34.043045,37.28283,38.16661
2025-09-18 12:00:00,-7.2,112.4,65.48697,71.29029,73.86472
2025-09-18 12:00:00,-7.2,112.4,88.227356,94.33222,96.42008
2025-09-18 18:00:00,-7.2,112.4,145.10612,154.87285,158.02777
2025-09-18 18:00:00,-7.2,112.4,106.038956,113.67934,116.40214
2025-09-19 00:00:00,-7.2,112.4,97.04837,105.87763,110.13696
2025-09-19 00:00:00,-7.2,112.4,98.30853,107.403824,112.036446
2025-09-19 06:00:00,-7.2,112.4,14.727874,16.088308,16.433805
2025-09-19 06:00:00,-7.2,112.4,11.729828,12.59562,12.745822
