Polutan,K,Inertia
SO2,2,1210.459865772646
SO2,3,691.6448005961768
SO2,4,525.289021129102
SO2,5,413.6787333232481
SO2,6,335.5555723614971
SO2,7,301.06384410236194
SO2,8,267.4158083005991
SO2,9,239.8176159369521
SO2,10,230.17152434357956
