Polutan,Jumlah_Fitur,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia
SO2,68,2,0.7893659610759113,0.1278638966664296,35.60952817749455,1210.459865772647
SO2,68,3,0.7084685101001957,0.15128519013262723,43.02213847948554,691.6448005961786
SO2,68,4,0.392088035522252,0.5334335131306296,40.13756221719698,525.2890211291029
SO2,68,5,0.4060567292046602,0.4739690579309518,39.225052743367776,413.67873332324876
SO2,68,6,0.13585540909571417,0.8798719122675509,38.92039509118652,335.5555723614975
SO2,68,7,0.12680123264500806,0.959840885822895,35.55618181719815,301.06384410236205
SO2,68,8,0.09956400961558046,1.0029461074647155,33.689076605370964,267.41580830059934
SO2,68,9,0.1208451973288977,0.8017502754313844,32.13958371701516,239.8176159369523
SO2,68,10,0.09243750677616219,1.1254609203605925,28.828437600579953,230.1715243435798
