Polutan,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
SO2,1,2,0.9252964799764819,0.030962589086771797,366.0022288716144,113.06773408272092,0.5304833670367862
SO2,1,3,0.7146211433087764,0.4003647040840068,521.7303304744872,40.878497558822815,0.5304833670367862
SO2,1,4,0.5984590430024319,0.3210295359439674,707.6596824737622,19.828361814164232,0.5304833670367862
SO2,1,5,0.5029089757913182,0.353255223565922,1173.5054906851988,8.77145568948686,0.5304833670367862
SO2,1,6,0.5412061164255426,0.34141137042401165,1612.4065525289725,4.962126440013893,0.5304833670367862
SO2,1,7,0.5274571087561557,0.3428634037016071,1917.1220702768212,3.369818187762819,0.5304833670367862
SO2,1,8,0.5256583396517593,0.3000531293413792,2917.304653924058,1.8370429113111277,0.5304833670367862
SO2,1,9,0.5820001552759347,0.29506800379585224,4065.060609841552,1.114409191077526,0.5304833670367862
SO2,1,10,0.618073074161868,0.2531043659897082,5309.6119172926465,0.7315273931945695,0.5304833670367862
SO2,2,2,0.8767020214465241,0.06540106348437585,65.22140156934772,660.5463274335748,0.7745510557725308
SO2,2,3,0.837207915039857,0.06363826005415074,166.38633882783208,175.3386470053721,0.7745510557725308
SO2,2,4,0.655890313074883,0.2080158420511029,260.5502015818061,76.6193150988834,0.7745510557725308
SO2,2,5,0.4758175089511739,0.3590211638032882,460.749500427981,32.280843844647436,0.7745510557725308
SO2,2,6,0.4717442832732337,0.3864599104700408,680.2734741736133,17.08298025489705,0.7745510557725308
SO2,2,7,0.44979300601647304,0.3894482195485095,815.1127406171655,11.531668662854388,0.7745510557725308
SO2,2,8,0.447649132758393,0.42022296872315384,943.156611413999,8.271959017392346,0.7745510557725308
SO2,2,9,0.4167730299738553,0.41765475744597125,1075.4148859342238,6.135875924962824,0.7745510557725308
SO2,2,10,0.4180513155483246,0.43364591585468304,1197.1766188375755,4.727938326348525,0.7745510557725308
SO2,3,2,0.853800089650143,0.08206105983273083,53.067344805078996,811.9819767658389,0.8366572683204263
SO2,3,3,0.8075195780290362,0.08401231536759364,99.94553241435376,297.0014255353551,0.8366572683204263
SO2,3,4,0.5009082609794747,0.40501408950644946,150.88434360737497,138.82928417173633,0.8366572683204263
SO2,3,5,0.4299403759880229,0.4181935359151717,219.2520395948137,71.92426709591061,0.8366572683204263
SO2,3,6,0.41152250120692946,0.4854208166301814,271.9931844143121,45.53427767091938,0.8366572683204263
SO2,3,7,0.413032150843937,0.43748179321619246,278.2210419379908,36.06930182973138,0.8366572683204263
SO2,3,8,0.3985383588969841,0.4475377625620228,294.5063002490955,28.34209255786409,0.8366572683204263
SO2,3,9,0.39416726968617277,0.4228895389200906,340.2746796739824,20.801152892110085,0.8366572683204263
SO2,3,10,0.3912387248232861,0.3636906239429189,376.68120960895845,16.143414508261245,0.8366572683204263
SO2,4,2,0.8387321060018532,0.09178707485377142,46.086733515437,935.2186860938834,0.8872566792787168
SO2,4,3,0.7849924951619071,0.0982275719389694,71.28037999499986,417.2339741363012,0.8872566792787168
SO2,4,4,0.5906821116357606,0.5884678482818783,82.49838017558005,254.90804090967248,0.8872566792787168
SO2,4,5,0.4840120841423908,0.38778786139369953,105.57964218538203,152.61050442558843,0.8872566792787168
SO2,4,6,0.3943266577629499,0.42102816839105306,162.78071191465406,79.49677140510687,0.8872566792787168
SO2,4,7,0.3334883548198931,0.5189528874382928,187.56904574432426,56.25724535383915,0.8872566792787168
SO2,4,8,0.3353955101735939,0.4650711466737118,198.2244793733247,44.35621492992681,0.8872566792787168
SO2,4,9,0.2926473887304878,0.46889013208708064,203.25357975815595,36.678362941360575,0.8872566792787168
SO2,4,10,0.30344388617736745,0.5746778952847512,218.84849616178877,29.299465828497432,0.8872566792787168
SO2,5,2,0.8270737755131194,0.09921944494964872,43.0819663013867,1000.4916710782682,0.9140090902767225
SO2,5,3,0.7670996314749109,0.10925001593874258,61.72456369577697,481.9864549567935,0.9140090902767225
SO2,5,4,0.5259432638395386,0.39329980521350516,65.99930032505502,318.86149717420506,0.9140090902767225
SO2,5,5,0.54623863588464,0.345723496285206,76.6900722402139,210.84031593454384,0.9140090902767225
SO2,5,6,0.3220600606899093,0.5285190754148594,95.84006198328157,135.61794222246743,0.9140090902767225
SO2,5,7,0.27996615971869776,0.5796627221976622,95.83592554071804,110.67534643466219,0.9140090902767225
SO2,5,8,0.2757190783663014,0.5232368853209206,99.85876727967661,88.91110542691591,0.9140090902767225
SO2,5,9,0.28846099598924807,0.5532945190306026,108.04386743520458,70.03554632112001,0.9140090902767225
SO2,5,10,0.25939317504661363,0.5092542463068953,123.9842126921291,52.7312053475629,0.9140090902767225
SO2,6,2,0.8180892600845244,0.10568280049476027,41.39425864387515,1041.2867567674707,0.9307163895979423
SO2,6,3,0.7530420056042939,0.11878063650585663,56.90830568193327,522.7796773484129,0.9307163895979423
