Polutan,Jumlah_PCA,Cumulative_Variance,K_Terbaik_Silhouette,Silhouette_Tertinggi,Davies_Bouldin,Calinski_Harabasz
SO2,1,0.5304833670367862,2,0.9252964799764819,0.030962589086771797,366.0022288716144
SO2,2,0.7745510557725308,2,0.8767020214465241,0.06540106348437585,65.22140156934772
SO2,3,0.8366572683204263,2,0.853800089650143,0.08206105983273083,53.067344805078996
SO2,4,0.8872566792787168,2,0.8387321060018532,0.09178707485377142,46.086733515437
SO2,5,0.9140090902767225,2,0.8270737755131194,0.09921944494964872,43.0819663013867
SO2,6,0.9307163895979423,2,0.8180892600845244,0.10568280049476027,41.39425864387515
SO2,7,0.9460752798324764,2,0.8112525385263197,0.11079012803060048,39.95578695206323
SO2,8,0.9593290235474795,2,0.8053261923055262,0.11556921898717606,38.792247396100386
SO2,9,0.9709926886968496,2,0.8004628935290051,0.11941755531053104,37.82282965242901
SO2,10,0.976745447898394,2,0.7984115395676522,0.12091249897279165,37.362264233352
SO2,11,0.9821118277966361,2,0.7961036467984318,0.12284880544491464,36.94262935224
SO2,12,0.9859741591108803,2,0.7946780019738596,0.12390211353863038,36.646396481756085
SO2,13,0.9888217253707525,2,0.7936273128184258,0.12467138355809505,36.43103447226926
SO2,14,0.991321345521881,2,0.7926902480335667,0.12535205592583212,36.24407097074172
SO2,15,0.9932621209020119,2,0.7919280682826895,0.12590777902076508,36.10023252827722
SO2,16,0.9950944936556413,2,0.7912530101640324,0.1264201306793958,35.9654500560643
SO2,17,0.9964439758646911,2,0.7907381328807904,0.1268075398741758,35.86683109244781
SO2,18,0.9974032414048652,2,0.7903731503521094,0.1270908047481844,35.797059287463895
SO2,19,0.9980780504992333,2,0.7901215098420047,0.1272832865805607,35.748136608285556
SO2,20,0.9985426021249958,2,0.7899364247672632,0.12742810834128498,35.71453490446419
SO2,21,0.9989491806420461,2,0.7897764433635012,0.12755074570060618,35.685178339194486
SO2,22,0.9992753867911257,2,0.7896520680947656,0.12764430657681125,35.661659905996295
SO2,23,0.9994815861513981,2,0.7895753716334121,0.12770006207762338,35.646809534698086
SO2,24,0.9996197066338935,2,0.7895200987520292,0.12774289484162582,35.63686906112039
SO2,25,0.9997474923190055,2,0.7894665689260839,0.12778668925988637,35.62767730955423
SO2,26,0.9998506046113078,2,0.7894255845532954,0.1278176416097953,35.620263849678935
SO2,27,0.9999033946629106,2,0.7894044075517533,0.12783420575803128,35.61646957684311
SO2,28,0.9999384473810541,2,0.789390333875039,0.12784508217354146,35.61395061733349
SO2,29,0.9999622944357417,2,0.7893811432323705,0.1278519518075333,35.612237120973575
SO2,30,0.9999776002153632,2,0.7893749199895864,0.12785692060122977,35.61113743276755
SO2,31,0.999988867864729,2,0.7893702938650732,0.12786069021196522,35.610327919098275
SO2,32,0.9999960818362664,2,0.7893675336555421,0.127862681590776,35.60980965746574
SO2,33,0.9999985979309012,2,0.7893665361696833,0.12786342461884004,35.60962890130121
SO2,34,0.9999996146604077,2,0.7893661106814811,0.12786375766597496,35.60955586000398
SO2,35,0.9999998981017795,2,0.7893660020736022,0.1278638446938315,35.6095354977827
SO2,36,1.0000000000000002,2,0.7893659610759114,0.12786387771197932,35.60952817749459
