Fitur,Nilai_Dewi,Mean_36_Data_Lain,Std_36_Data_Lain,ZScore_Dewi,Selisih_Absolut,Abs_ZScore
average_power,368.8422393878424,2.916683304722222e-08,2.0567702264850252e-08,17933079476.214455,368.8422393586756,17933079476.214455
abs_energy,134627.4173765625,1.6473555733591666e-05,3.7402161183527576e-05,3599455568.8771453,134627.41736008893,3599455568.8771453
calc_var,59.265534211291865,2.4380218733333333e-08,1.7934762532177336e-08,3304506211.363626,59.265534186911644,3304506211.363626
spectrogram_mean_coeff,88.59294325695652,4.163230998611111e-08,3.017277270168083e-08,2936188334.139705,88.59294321532421,2936188334.139705
wavelet_var,110.71133023052674,5.0446261308333335e-08,3.964472143563689e-08,2792586911.218939,110.71133018008048,2792586911.218939
hist_mode,22.843562500000004,3.9193633848188884e-05,4.946556899500027e-05,461806.54080164456,22.843523306366155,461806.54080164456
calc_median,18.009999999999998,4.687107562572777e-05,3.908187712056041e-05,460826.205286071,18.009953128924373,460826.205286071
calc_mean,17.566130464480874,5.491269429858612e-05,4.173671001269794e-05,420878.29985742253,17.566075551786575,420878.29985742253
ecdf_percentile,16.15,5.3377930718755565e-05,4.135358350714585e-05,390533.1836424427,16.14994662206928,390533.1836424427
rms,19.17901128073225,0.00015924491716335834,6.194209335890398e-05,309625.5065951559,19.178852035815087,309625.5065951559
wavelet_abs_mean,0.7237566516415059,3.8790674972916665e-06,2.836418633320723e-06,255164.2991171154,0.7237527725740086,255164.2991171154
slope,0.0272796196851034,1.367985114361111e-07,1.2218964828358632e-07,223255.26973676056,0.027279482886591964,223255.26973676056
calc_max,39.463750000000005,0.00045317077300559717,0.00019247439773558957,205031.4082989855,39.463296829227,205031.4082989855
interq_range,11.2975,0.00018095994279982775,8.000792236868846e-05,141202.50477193328,11.2973190400572,141202.50477193328
mean_abs_deviation,6.123227160410881,0.000113414944314625,4.686825650905942e-05,130645.22134043959,6.123113745466567,130645.22134043959
median_abs_deviation,5.23,9.053873023986389e-05,4.020041733535124e-05,130095.89969283002,5.22990946126976,130095.89969283002
calc_std,7.698411148496283,0.00014481633838439722,5.921005925037899e-05,130016.19031665847,7.698266332157899,130016.19031665847
wavelet_energy,9.869025270006606,0.00020057982166544997,8.579511292375063e-05,115027.81864691686,9.86882469018494,115027.81864691686
wavelet_std,9.838849926673207,0.00020049684263950278,8.581275073954617e-05,114652.5352589181,9.838649429830568,114652.5352589181
pk_pk_distance,36.93375,0.0007738588848087333,0.0003425142137946198,107829.03206248004,36.9329761411152,107829.03206248004
median_abs_diff,2.4899999999999984,6.138855885443333e-05,2.78500221198201e-05,89405.26512792686,2.489938611441144,89405.26512792686
sum_abs_diff,1114.0925,0.037019972988816714,0.015510747706349274,71824.74379175004,1114.055480027011,71824.74379175004
mean_abs_diff,3.052308219178082,9.981767806954445e-05,4.5618089935079406e-05,66907.85181588511,3.0522084015000126,66907.85181588511
auc,6419.47875,0.06075574954876877,0.12851716111886313,49949.88948062159,6419.417994250452,49949.88948062159
mean_diff,0.0112602739726027,-4.049927504166665e-08,6.722162617626898e-07,16751.029560562656,0.01126031447187774,16751.029560562656
calc_min,2.53,-0.00032068811180313334,0.00016254037513948924,15567.336336835244,2.5303206881118028,15567.336336835244
spectral_distance,-1216298.973778294,-343.7666849022586,2009.9562093664686,-604.9660193724601,1215955.2070933916,604.9660193724601
maximum_fractal_length,3.067324614061027,-1.3696988028975945,0.2510933622024994,17.670811279273455,4.437023416958621,17.670811279273455
spectral_decrease,-2.1948051946545566,-0.24838083701326352,0.291991566706461,-6.666029363779649,1.946424357641293,6.666029363779649
autocorr,16.0,2.3333333333333335,2.3664319132398464,5.775220740644863,13.666666666666666,5.775220740644863
spectral_slope,-0.037749386299997,-0.0140282871888667,0.00478593501335688,-4.956418974542698,0.023721099111130302,4.956418974542698
spectral_entropy,0.6136558014439318,0.8590078257184928,0.051024336451368356,-4.8085294457167045,0.24535202427456093,4.8085294457167045
lpcc,0.7518089241756809,0.2407817408989915,0.10818892547402004,4.723470364805546,0.5110271832766894,4.723470364805546
spectral_kurtosis,3.5602381155965497,2.0150949844984205,0.37001765079120985,4.175863307585854,1.5451431310981292,4.175863307585854
spectral_roll_off,0.4153005464480874,0.4592575784509532,0.011121838080443078,-3.9523172055670353,0.043957032002865826,3.9523172055670353
max_frequency,0.4153005464480874,0.4592575784509532,0.011121838080443078,-3.9523172055670353,0.043957032002865826,3.9523172055670353
spectral_centroid,0.1037125330542009,0.19243336036513015,0.022875354300708268,-3.8784460404262355,0.08872082731092924,3.8784460404262355
median_frequency,0.0327868852459016,0.16541505950297528,0.03461689437756408,-3.8313134855630704,0.13262817425707368,3.8313134855630704
spectral_skewness,1.327210387825893,0.4502546448043014,0.2297106436116653,3.8176539372904243,0.8769557430215915,3.8176539372904243
zero_cross,0.0,96.0,26.38397782204734,-3.6385718881168545,96.0,3.6385718881168545
higuchi_fractal_dimension,1.751648991773797,1.9149088147208095,0.04719597932149661,-3.4591892210752735,0.16325982294701258,3.4591892210752735
spectral_variation,0.5173307303557213,0.24634141683385705,0.10716478068358136,2.528716167693164,0.2709893135218643,2.528716167693164
spectral_spread,0.1375274716419097,0.14836205379536913,0.004406884061230639,-2.458558474178198,0.010834582153459421,2.458558474178198
dfa,1.114133833107347,0.8492968137067557,0.14239688481754248,1.8598512161269194,0.26483701940059123,1.8598512161269194
negative_turning,106.0,70.94444444444444,19.57103463860296,1.7911958260198517,35.05555555555556,1.7911958260198517
petrosian_fractal_dimension,1.036919563033854,1.0259790897615586,0.006686237332316148,1.6362675640329785,0.010940473272295304,1.6362675640329785
positive_turning,102.0,70.72222222222223,19.82438773849899,1.5777424347404323,31.27777777777777,1.5777424347404323
mfcc,16.81092172554682,33.438468370701514,10.956056660822496,-1.5176579639837704,16.627546645154695,1.5176579639837704
power_bandwidth,0.2896174863387978,0.39366442738911805,0.07138290090044035,-1.4575891388252393,0.10404694105032025,1.4575891388252393
distance,1220.0,492.6388888888889,796.1205275863979,0.9136319010844438,727.3611111111111,0.9136319010844438
hurst_exponent,0.8068966907520105,0.7536576833875217,0.06011954349652746,0.8855524221930252,0.05323900736448883,0.8855524221930252
wavelet_entropy,2.1356947315802284,2.1644118892821615,0.03308099285870242,-0.8680863305582052,0.02871715770193317,0.8680863305582052
skewness,0.3709744883541151,0.1978640871054481,0.20919026601010712,0.8275260821184821,0.17311040124866703,0.8275260821184821
lempel_ziv,0.1693989071038251,0.19120183831730403,0.028769335270924446,-0.7578531449600063,0.021802931213478927,0.7578531449600063
fundamental_frequency,0.0054644808743169,0.004056767294800211,0.002126383105250553,0.6620225565377679,0.0014077135795166886,0.6620225565377679
ecdf_slope,0.0558035714285714,4357.367401846985,7303.268476672452,-0.5966248690149282,4357.311598275556,0.5966248690149282
max_power_spectrum,46.56658356668508,29.114650192663717,41.30923983860432,0.42247045557377166,17.451933374021365,0.42247045557377166
mse,1.090962262963038,1.1658907773910336,0.18229149341607678,-0.4110368126557215,0.07492851442799564,0.4110368126557215
kurtosis,0.2090235767867438,0.0949970361965823,0.3819152237730184,0.2985650570921736,0.1140265405901615,0.2985650570921736
entropy,0.9653359320470156,0.9800723680949179,0.0768135538475286,-0.19184682012179083,0.014736436047902313,0.19184682012179083
spectral_positive_turning,57.0,76.44444444444444,114.87843125780387,-0.1692610547650001,19.444444444444443,0.1692610547650001
neighbourhood_peaks,16.0,15.444444444444445,3.3843711755610157,0.1641532582381313,0.5555555555555554,0.1641532582381313
ecdf_percentile_count,182.5,246.43055555555554,398.0415834841125,-0.16061275557182403,63.93055555555554,0.16061275557182403
