Fitur,Nilai_Dewi,Mean_36_Data_Lain,Std_36_Data_Lain,ZScore_Dewi,Selisih_Absolut,Abs_ZScore
calc_var,189719.15286214428,9.558402665255555e-06,2.1670273625932137e-06,87548111356.3582,189719.1528525859,87548111356.3582
spectrogram_mean_coeff,264153.17251401953,1.4504606753963887e-05,3.462063830198068e-06,76299336307.8469,264153.17249951494,76299336307.8469
wavelet_var,335647.27938261343,6.187844567585278e-05,1.1433954018710948e-05,29355311274.775925,335647.27932073496,29355311274.775925
average_power,1273309.5636484162,0.0008440629311958166,5.790838722451001e-05,21988344414.907463,1273309.5628043532,21988344414.907463
abs_energy,464757990.7316719,0.4131028504066412,0.670486278174133,693165550.8061957,464757990.31856906,693165550.8061957
calc_max,2132.11125,0.03723210905343542,0.0016267134003557788,1310663.585499843,2132.0740178909464,1310663.585499843
calc_std,435.5676214575003,0.003072190412534992,0.00035139535891417394,1239528.4633610419,435.5645492670878,1239528.4633610419
mean_abs_deviation,350.0942630415957,0.002451163401280322,0.00029745886761327285,1176941.9237262404,350.0918118781944,1176941.9237262404
rms,1126.8675946044395,0.028995395727819315,0.0010171711937172812,1107816.0747854526,1126.8385992087117,1107816.0747854526
ecdf_percentile,1043.77,0.02874691872637701,0.0010025946550126135,1041040.1131334002,1043.7412530812735,1041040.1131334002
calc_mean,1039.2840915300546,0.02883015625154879,0.0010154817101012672,1023411.107296226,1039.255261373803,1023411.107296226
sum_abs_diff,81370.5875,0.6595737390768455,0.08713552445680736,933831.8491053047,81369.92792626092,933831.8491053047
calc_median,928.475,0.028669898820109087,0.0010650876201726734,871708.8740085618,928.4463301011799,871708.8740085618
pk_pk_distance,1810.65125,0.01633244474304905,0.0020773640586696698,871602.1200033544,1810.6349175552568,871602.1200033544
interq_range,569.5725000000001,0.004114880373131281,0.00068466165940523,831897.5910151224,569.568385119627,831897.5910151224
median_abs_deviation,249.0550000000001,0.002044917085261336,0.00034732462870437983,717061.0273505612,249.05295508291482,717061.0273505612
wavelet_std,563.600124010277,0.007313987489795889,0.000788830857311167,714465.9780981019,563.5928100227871,714465.9780981019
wavelet_energy,565.3374523101481,0.00754458297839052,0.0008317177178992839,679713.676360118,565.3299077271697,679713.676360118
hist_mode,774.1228125,0.02834407412556421,0.0014201443134393588,545081.553402938,774.0944684258744,545081.553402938
mean_abs_diff,222.9331164383561,0.001821161041834084,0.0004584691240315068,486251.49130433926,222.93129527731426,486251.49130433926
median_abs_diff,147.70999999999992,0.0011944096119264585,0.0004472515488880762,330258.90230589645,147.708805590388,330258.90230589645
calc_min,321.46,0.020899664310386337,0.0013073233262034033,245875.7477151277,321.4391003356896,245875.7477151277
