Fitur,Cluster_0_Mean,Cluster_1_Mean,Selisih_C1_C0,Abs_Selisih,Mean_Global
abs_energy,-0.16666666666666666,6.0,6.166666666666667,6.166666666666667,-4.800964430811488e-17
average_power,-0.16666666666666669,6.0,6.166666666666667,6.166666666666667,-2.400482215405744e-17
spectrogram_mean_coeff,-0.16666666666666669,6.0,6.166666666666667,6.166666666666667,0.0
calc_var,-0.16666666666666666,6.0,6.166666666666667,6.166666666666667,0.0
wavelet_var,-0.16666666666666669,6.0,6.166666666666667,6.166666666666667,-2.400482215405744e-17
calc_max,-0.16666666666492158,5.999999999937179,6.166666666602101,6.166666666602101,4.800964430811488e-17
calc_std,-0.1666666666647156,5.999999999929761,6.166666666594477,6.166666666594477,-4.800964430811488e-17
mean_abs_deviation,-0.16666666666450258,5.9999999999220925,6.166666666586595,6.166666666586595,-2.400482215405744e-17
rms,-0.16666666666422406,5.999999999912067,6.166666666576291,6.166666666576291,0.0
ecdf_percentile,-0.16666666666390065,5.9999999999004245,6.166666666564325,6.166666666564325,2.400482215405744e-17
calc_mean,-0.16666666666380456,5.999999999896964,6.166666666560769,6.166666666560769,0.0
sum_abs_diff,-0.16666666666322916,5.999999999876249,6.166666666539478,6.166666666539478,-2.400482215405744e-17
calc_median,-0.16666666666272173,5.999999999857982,6.166666666520704,6.166666666520704,0.0
pk_pk_distance,-0.16666666666272073,5.9999999998579465,6.166666666520667,6.166666666520667,-2.400482215405744e-17
interq_range,-0.16666666666233512,5.999999999844063,6.166666666506399,6.166666666506399,-4.800964430811488e-17
median_abs_deviation,-0.16666666666083663,5.999999999790118,6.166666666450955,6.166666666450955,0.0
wavelet_std,-0.16666666666079413,5.99999999978859,6.166666666449385,6.166666666449385,4.800964430811488e-17
wavelet_energy,-0.16666666666017835,5.999999999766419,6.166666666426597,6.166666666426597,-4.800964430811488e-17
hist_mode,-0.16666666665657734,5.999999999636784,6.166666666293361,6.166666666293361,0.0
mean_abs_diff,-0.16666666665398827,5.9999999995435775,6.166666666197566,6.166666666197566,-2.400482215405744e-17
median_abs_diff,-0.16666666663918284,5.999999999010583,6.166666665649766,6.166666665649766,0.0
calc_min,-0.16666666661708118,5.999999998214922,6.166666664832003,6.166666664832003,2.400482215405744e-17
mean_diff,0.16666666654812878,-5.999999995732636,-6.166666662280765,6.166666662280765,4.800964430811488e-17
slope,0.1666666664870133,-5.999999993532479,-6.166666660019493,6.166666660019493,2.400482215405744e-17
wavelet_abs_mean,-0.1666666664048152,5.999999990573346,6.166666656978161,6.166666656978161,0.0
median_diff,0.16666666561638285,-5.999999962189783,-6.1666666278061655,6.1666666278061655,2.400482215405744e-17
auc,-0.16666665569174152,5.999999604902696,6.166666260594437,6.166666260594437,0.0
spectral_distance,0.1666640440698641,-5.999905586515108,-6.166569630584972,6.166569630584972,2.400482215405744e-17
distance,-0.16637616171697078,5.989541821810948,6.155917983527919,6.155917983527919,0.0
median_frequency,-0.16584009046410433,5.970243256707757,6.136083347171861,6.136083347171861,4.800964430811488e-17
maximum_fractal_length,-0.16417642029216428,5.910351130517915,6.074527550810079,6.074527550810079,4.800964430811488e-17
spectral_centroid,-0.12436910646295438,4.47728783266633,4.601656939129285,4.601656939129285,-7.441494867757806e-16
spectral_decrease,-0.12033649871006541,4.332113953562349,4.452450452272414,4.452450452272414,-1.6803375507840208e-16
skewness,-0.10044951369620435,3.61618249306336,3.7166320067595646,3.7166320067595646,8.401687753920104e-17
spectral_skewness,0.09254542832439751,-3.3316354196783,-3.4241808480026976,3.4241808480026976,3.00060276925718e-16
ecdf_slope,0.09238089561013701,-3.3257122419649385,-3.4180931375750756,3.4180931375750756,-1.3202652184731592e-16
lpcc,0.07821152846360499,-2.8156150246897016,-2.8938265531533065,2.8938265531533065,2.1244267606340835e-15
spectral_kurtosis,0.07077928300229551,-2.548054188082645,-2.6188334710849404,2.6188334710849404,-1.800361661554308e-16
max_frequency,-0.06644699562389185,2.392091842460255,2.458538838084147,2.458538838084147,4.0328101218816495e-15
spectral_roll_off,-0.06644699562389185,2.392091842460255,2.458538838084147,2.458538838084147,4.0328101218816495e-15
spectral_spread,-0.061054239624964146,2.197952626498635,2.2590068661235994,2.2590068661235994,-2.0164050609408248e-15
negative_turning,-0.0589322035961929,2.121559329462958,2.180491533059151,2.180491533059151,3.600723323108616e-16
positive_turning,-0.05311364245110564,1.9120911282397903,1.965204770690896,1.965204770690896,-3.4806992123383286e-16
mfcc,-0.049124316105004256,1.768475379780165,1.8175996958851692,1.8175996958851692,3.00060276925718e-16
fundamental_frequency,-0.04760983373875946,1.713954014595338,1.7615638483340974,1.7615638483340974,-3.600723323108616e-17
petrosian_fractal_dimension,-0.044333402704658825,1.5960024973684517,1.6403359000731106,1.6403359000731106,1.982198189371293e-14
spectral_slope,-0.03916025694696054,1.409769250090564,1.4489295070375245,1.4489295070375245,-4.3808800431154827e-16
higuchi_fractal_dimension,0.03764947901439883,-1.3553812445185143,-1.3930307235329131,1.3930307235329131,-4.2608559323451954e-15
wavelet_entropy,-0.03611793915677205,1.3002458096443525,1.3363637488011246,1.3363637488011246,1.5105034340440644e-14
spectral_entropy,0.03262979233913475,-1.174672524208838,-1.2073023165479728,1.2073023165479728,3.3006630461828976e-16
neighbourhood_peaks,0.02891983069779121,-1.0411139051204883,-1.0700337358182794,1.0700337358182794,-1.50030138462859e-16
mse,-0.026412647142286874,0.9508552971223238,0.9772679442646106,0.9772679442646106,-1.0202049415474412e-16
kurtosis,-0.018984999711325216,0.6834599896077076,0.7024449893190328,0.7024449893190328,3.00060276925718e-17
max_power_spectrum,-0.01747150912547802,0.6289743285172006,0.6464458376426786,0.6464458376426786,-1.950391800017167e-16
hurst_exponent,-0.01655528461646705,0.5959902461927095,0.6125455308091765,0.6125455308091765,-2.802562986486206e-15
spectral_variation,0.0122043461912915,-0.43935646288655833,-0.45156080907784985,0.45156080907784985,-1.7718559352463647e-15
dfa,-0.010525147659700132,0.3789053157491889,0.38943046340888904,0.38943046340888904,-4.035810724650907e-16
lempel_ziv,0.006774393298594059,-0.2438781587493982,-0.25065255204799225,0.25065255204799225,-3.263155511567183e-16
calc_centroid,0.005103090965303001,-0.18371127475090948,-0.1888143657162125,0.1888143657162125,-6.301265815440077e-17
autocorr,-0.004596051553139348,0.165457855913019,0.17005390746615837,0.17005390746615837,6.676341161597225e-17
ecdf_percentile_count,0.004350397863459413,-0.15661432308453987,-0.1609647209479993,0.1609647209479993,-3.00060276925718e-18
spectral_positive_turning,0.004134900721514459,-0.1488564259745197,-0.15299132669603416,0.15299132669603416,4.5759192231171994e-17
ecdf,0.0011717234451067177,-0.04218204402387916,-0.04335376746898587,0.04335376746898587,-9.845727836625122e-16
entropy,-0.0009971293617780676,0.03589665702404083,0.036893786385818896,0.036893786385818896,8.45607367911289e-16
power_bandwidth,0.00012106522851782548,-0.00435834822660805,-0.004479413455125875,0.004479413455125875,9.099327897772397e-16
human_range_energy,0.0,0.0,0.0,0.0,0.0
spectral_roll_on,0.0,0.0,0.0,0.0,0.0
zero_cross,0.0,0.0,0.0,0.0,0.0
