Polutan,K,Inertia
CO,2,1123.8003026254792
CO,3,660.2141012127196
CO,4,509.3738253789558
CO,5,413.8895261401144
CO,6,361.35157559548446
CO,7,315.8683975251071
CO,8,272.8541360194039
CO,9,239.32255851745515
CO,10,221.03901221689142
