Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
CO,1,2,0.5395496200775334,0.9488998864224819,0.016955115122740803,1749.4307622516956,1,36,0.027777777777777776,1-36
CO,1,3,0.5395496200775334,0.5493574149409106,0.4149494969492385,1918.417840267942,1,22,0.045454545454545456,1-14-22
CO,1,4,0.5395496200775334,0.5537297174430116,0.305469721020522,2313.5730538504467,1,21,0.047619047619047616,1-1-14-21
CO,1,5,0.5395496200775334,0.6155592644272019,0.25214399585133124,4066.5704791246,1,20,0.05,1-1-2-13-20
CO,1,6,0.5395496200775334,0.6206076804870673,0.23149431527149755,6471.2155150103235,1,19,0.05263157894736842,1-1-2-4-10-19
CO,1,7,0.5395496200775334,0.5592397696156887,0.2994806671759821,9614.87617696611,1,12,0.08333333333333333,1-1-2-4-7-10-12
CO,1,8,0.5395496200775334,0.5371038698854685,0.33091356856666004,12101.767449139666,1,9,0.1111111111111111,1-1-2-4-6-7-7-9
CO,1,9,0.5395496200775334,0.5509849330777753,0.2809377204632911,13730.297710325081,1,8,0.125,1-1-1-2-4-6-6-8-8
CO,1,10,0.5395496200775334,0.5623782415669222,0.28950620399113025,17630.9741257108,1,8,0.125,1-1-1-2-3-4-4-6-7-8
CO,2,2,0.7762641130159474,0.8850776879599994,0.05889324374347023,76.4742268018285,1,36,0.027777777777777776,1-36
CO,2,3,0.7762641130159474,0.8420287416681642,0.06237790662602181,188.55412976458285,1,35,0.02857142857142857,1-1-35
CO,2,4,0.7762641130159474,0.6770907141202355,0.15585920543902698,257.71301190236426,1,33,0.030303030303030304,1-1-2-33
CO,2,5,0.7762641130159474,0.5134233281383805,0.31678379464910555,543.0633886074816,1,21,0.047619047619047616,1-1-2-12-21
CO,2,6,0.7762641130159474,0.46457336256309456,0.34972564824114877,835.7264397833854,1,16,0.0625,1-1-2-6-11-16
CO,2,7,0.7762641130159474,0.477417294636149,0.3791324720279798,1154.1107420801397,1,12,0.08333333333333333,1-1-2-5-8-8-12
CO,2,8,0.7762641130159474,0.43933142368746436,0.47636425199907195,1190.4403885425331,1,10,0.1,1-1-2-5-5-5-8-10
CO,2,9,0.7762641130159474,0.40133006953950334,0.45523808407358035,1194.104452350954,1,10,0.1,1-1-1-2-4-5-6-7-10
CO,2,10,0.7762641130159474,0.3423035632534459,0.552624562105532,1167.5355430732354,1,9,0.1111111111111111,1-1-2-2-2-4-4-6-6-9
CO,3,2,0.83685889683416,0.8630020027085568,0.07524998392868615,61.29791641326377,1,36,0.027777777777777776,1-36
CO,3,3,0.83685889683416,0.8104599279762661,0.08359495390632576,109.96708377136629,1,35,0.02857142857142857,1-1-35
CO,3,4,0.83685889683416,0.5745171746925722,0.3513341748628113,163.8392399490435,1,31,0.03225806451612903,1-1-4-31
CO,3,5,0.83685889683416,0.490037245669868,0.3823007572257082,288.9942014065911,1,20,0.05,1-1-3-12-20
CO,3,6,0.83685889683416,0.4640388450253382,0.43696443406321933,319.3879360417617,1,18,0.05555555555555555,1-1-2-3-12-18
CO,3,7,0.83685889683416,0.4127123606514752,0.48469194525904474,390.98770771383084,1,15,0.06666666666666667,1-1-2-3-6-9-15
CO,3,8,0.83685889683416,0.3904682939352041,0.4354599515607984,457.48973327829657,1,14,0.07142857142857142,1-1-1-2-5-5-8-14
CO,3,9,0.83685889683416,0.3454998644991504,0.5093745492154443,485.46138988497285,1,10,0.1,1-1-1-2-2-5-7-8-10
CO,3,10,0.83685889683416,0.3906299027823801,0.4847067126525757,503.1989539795053,1,8,0.125,1-1-1-2-2-5-5-6-6-8
CO,4,2,0.8753522026182571,0.8420847582153683,0.09047218032040921,54.4118073708886,1,36,0.027777777777777776,1-36
CO,4,3,0.8753522026182571,0.7748784434571561,0.10724130292555502,81.98007867753267,1,35,0.02857142857142857,1-1-35
CO,4,4,0.8753522026182571,0.4757516670722948,0.4342547944606751,95.13144801612496,1,31,0.03225806451612903,1-1-4-31
CO,4,5,0.8753522026182571,0.3245333005953662,0.6122997732084873,108.59485109293365,1,20,0.05,1-1-3-12-20
CO,4,6,0.8753522026182571,0.37041459013658884,0.5303704329426759,132.58680966276336,1,15,0.06666666666666667,1-1-3-7-10-15
CO,4,7,0.8753522026182571,0.3810812818700206,0.5356849525059494,135.0144533187155,1,15,0.06666666666666667,1-1-2-2-6-10-15
CO,4,8,0.8753522026182571,0.3170005802659571,0.6576036787336582,136.98178651343216,1,10,0.1,1-1-2-4-6-6-7-10
CO,4,9,0.8753522026182571,0.30098921038051607,0.5349460727121803,135.90185378924812,1,11,0.09090909090909091,1-1-1-2-4-4-4-9-11
CO,4,10,0.8753522026182571,0.30760692162225794,0.5983179342784826,146.82855013324394,1,9,0.1111111111111111,1-1-1-2-2-4-4-6-7-9
CO,5,2,0.9046697678660789,0.8309927822962637,0.09850776841702612,50.12403815885387,1,36,0.027777777777777776,1-36
CO,5,3,0.9046697678660789,0.756193212526983,0.11946982498856555,68.60470284747466,1,35,0.02857142857142857,1-1-35
CO,5,4,0.9046697678660789,0.4375692093897056,0.5088710941779997,72.59673963505443,1,31,0.03225806451612903,1-1-4-31
CO,5,5,0.9046697678660789,0.28878975946689156,0.6560014748051685,78.41526165009196,1,20,0.05,1-1-2-13-20
CO,5,6,0.9046697678660789,0.28088584972086883,0.6271612586444243,82.82812623099554,1,12,0.08333333333333333,1-1-2-10-11-12
CO,5,7,0.9046697678660789,0.29092768957121334,0.6499896786697686,84.5311091909597,1,13,0.07692307692307693,1-1-2-2-9-9-13
CO,5,8,0.9046697678660789,0.29224670430122607,0.5738300717864293,85.4723391884977,1,14,0.07142857142857142,1-1-1-2-2-7-9-14
CO,5,9,0.9046697678660789,0.28025391459881405,0.6151652315469145,89.44300597640805,1,11,0.09090909090909091,1-1-1-2-2-4-7-8-11
CO,5,10,0.9046697678660789,0.26448349749384265,0.6096624578790748,85.59556485672259,1,11,0.09090909090909091,1-1-1-1-2-2-4-7-7-11
CO,6,2,0.9234284897340822,0.8252900546463235,0.10240141269829317,47.71857859399525,1,36,0.027777777777777776,1-36
