Polutan,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia
CO,2,0.7954938431353851,0.12468913462228236,39.90209764434673,1123.8003026254792
CO,3,0.6970344797783186,0.15911255780357056,44.92688087833945,660.2141012127196
CO,4,0.3425166713452602,0.6944590082686523,40.93631608439725,509.3738253789558
CO,5,0.1845008224840485,0.9275033700606399,38.48583446754503,413.8895261401144
CO,6,0.15381244310341577,0.9845293884169285,35.064521886828985,361.35157559548446
CO,7,0.16133743836887787,0.8800047103337387,33.06965208997899,315.8683975251071
CO,8,0.14248964725934574,0.8410776215440864,32.37325206452859,272.8541360194039
CO,9,0.15005465588442,0.8583926597277622,31.67219626993946,239.32255851745515
CO,10,0.14546929585610843,0.8077057602908623,29.641296790271515,221.03901221689142
